Join_Count,TARGET_FID,JOIN_FID,ID,STATION_NA,MODE_,STATUS,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
1,33,393,,NIST,Bus Rapid Transit,Planned,24,031,700829,24031700829,1400000US24031700829,7008.29,Census Tract 7008.29,G5020,S,3904346.000000000000000,64073.000000000000000,+39.1269866,-077.2211774
1,34,524,,LSC Belward,Bus Rapid Transit,Planned,24,031,700836,24031700836,1400000US24031700836,7008.36,Census Tract 7008.36,G5020,S,1101265.000000000000000,11101.000000000000000,+39.1044461,-077.2146090
1,35,515,,Gateway Center,Bus Rapid Transit,Planned,24,031,700316,24031700316,1400000US24031700316,7003.16,Census Tract 7003.16,G5020,S,4538368.000000000000000,11354.000000000000000,+39.2214431,-077.2720944
1,36,1157,,Olney Transit Center / Montgomery General Hospital,Bus Rapid Transit,Planned,24,031,701315,24031701315,1400000US24031701315,7013.15,Census Tract 7013.15,G5020,S,2627298.000000000000000,13587.000000000000000,+39.1585226,-077.0527544
1,37,837,,White Oak Transit Center,Bus Rapid Transit,Existing,24,031,701509,24031701509,1400000US24031701509,7015.09,Census Tract 7015.09,G5020,S,4085037.000000000000000,0.000000000000000,+39.0331015,-076.9767518
1,39,165,,Glenmont Metro Station,Bus Rapid Transit,Planned,24,031,703206,24031703206,1400000US24031703206,7032.06,Census Tract 7032.06,G5020,S,2663393.000000000000000,4563.000000000000000,+39.0724469,-077.0546839
1,40,562,,Forest Glen Metro Station,Bus Rapid Transit,Planned,24,031,704000,24031704000,1400000US24031704000,7040,Census Tract 7040,G5020,S,2264881.000000000000000,181.000000000000000,+39.0216780,-077.0544179
1,41,517,,Shady Grove Transit Center,Bus Rapid Transit,Planned,24,031,700728,24031700728,1400000US24031700728,7007.28,Census Tract 7007.28,G5020,S,2134659.000000000000000,0.000000000000000,+39.1271568,-077.1761624
1,42,559,,Wheaton Transit Center,Bus Rapid Transit,Planned,24,031,703800,24031703800,1400000US24031703800,7038,Census Tract 7038,G5020,S,1215086.000000000000000,139.000000000000000,+39.0360600,-077.0547130
1,43,799,,Montgomery Mall Bus Transit Center,Bus Rapid Transit,Planned,24,031,706012,24031706012,1400000US24031706012,7060.12,Census Tract 7060.12,G5020,S,2082169.000000000000000,40250.000000000000000,+39.0301126,-077.1523847
1,45,189,,Rockville Metro Station,Bus Rapid Transit,Planned,24,031,700901,24031700901,1400000US24031700901,7009.01,Census Tract 7009.01,G5020,S,1695987.000000000000000,0.000000000000000,+39.0865869,-077.1522375
1,47,1171,,White Flint Metro Station,Bus Rapid Transit,Planned,24,031,701216,24031701216,1400000US24031701216,7012.16,Census Tract 7012.16,G5020,S,1358375.000000000000000,505.000000000000000,+39.0478603,-077.1158425
1,48,1448,,Medical Center Metro Station,Bus Rapid Transit,Planned,24,031,705000,24031705000,1400000US24031705000,7050,Census Tract 7050,G5020,S,4558192.000000000000000,11079.000000000000000,+38.9984654,-077.0906078
1,51,1457,,Lockwood Drive and Oak Leaf Drive,Bus Rapid Transit,Existing,24,031,701505,24031701505,1400000US24031701505,7015.05,Census Tract 7015.05,G5020,S,3340981.000000000000000,1699.000000000000000,+39.0300467,-076.9933235
1,55,389,,Montgomery College Germantown Campus,Bus Rapid Transit,Planned,24,031,700830,24031700830,1400000US24031700830,7008.30,Census Tract 7008.30,G5020,S,1779808.000000000000000,224.000000000000000,+39.1851226,-077.2448532
1,56,529,,Seneca Meadows Corporate Park,Bus Rapid Transit,Planned,24,031,700313,24031700313,1400000US24031700313,7003.13,Census Tract 7003.13,G5020,S,2797073.000000000000000,1070.000000000000000,+39.1946701,-077.2570537
1,57,192,,Montrose Parkway and MD 586,Bus Rapid Transit,Planned,24,031,703301,24031703301,1400000US24031703301,7033.01,Census Tract 7033.01,G5020,S,1502778.000000000000000,0.000000000000000,+39.0700877,-077.0936023
1,58,1428,,Montrose Parkway and Parklawn Drive,Bus Rapid Transit,Planned,24,031,701201,24031701201,1400000US24031701201,7012.01,Census Tract 7012.01,G5020,S,2534649.000000000000000,20262.000000000000000,+39.0498578,-077.0957459
1,59,1171,,MD 187 and Executive Boulevard/Hoya Drive,Bus Rapid Transit,Planned,24,031,701216,24031701216,1400000US24031701216,7012.16,Census Tract 7012.16,G5020,S,1358375.000000000000000,505.000000000000000,+39.0478603,-077.1158425
1,60,213,,MD 355 and Templeton Place,Bus Rapid Transit,Planned,24,031,700904,24031700904,1400000US24031700904,7009.04,Census Tract 7009.04,G5020,S,1132114.000000000000000,1173.000000000000000,+39.0656133,-077.1290436
1,61,529,,MD 355 and Ridge Road,Bus Rapid Transit,Planned,24,031,700313,24031700313,1400000US24031700313,7003.13,Census Tract 7003.13,G5020,S,2797073.000000000000000,1070.000000000000000,+39.1946701,-077.2570537
1,62,533,,MD 355 and West Old Baltimore Road,Bus Rapid Transit,Planned,24,031,700210,24031700210,1400000US24031700210,7002.10,Census Tract 7002.10,G5020,S,4605304.000000000000000,10139.000000000000000,+39.2240430,-077.2461554
1,63,515,,MD 355 and Little Seneca Parkway,Bus Rapid Transit,Planned,24,031,700316,24031700316,1400000US24031700316,7003.16,Census Tract 7003.16,G5020,S,4538368.000000000000000,11354.000000000000000,+39.2214431,-077.2720944
