"GEO_ID","NAME","B08141_001E","B08141_001M","B08141_002E","B08141_002M","B08141_003E","B08141_003M","B08141_004E","B08141_004M","B08141_005E","B08141_005M","B08141_006E","B08141_006M","B08141_007E","B08141_007M","B08141_008E","B08141_008M","B08141_009E","B08141_009M","B08141_010E","B08141_010M","B08141_011E","B08141_011M","B08141_012E","B08141_012M","B08141_013E","B08141_013M","B08141_014E","B08141_014M","B08141_015E","B08141_015M","B08141_016E","B08141_016M","B08141_017E","B08141_017M","B08141_018E","B08141_018M","B08141_019E","B08141_019M","B08141_020E","B08141_020M","B08141_021E","B08141_021M","B08141_022E","B08141_022M","B08141_023E","B08141_023M","B08141_024E","B08141_024M","B08141_025E","B08141_025M","B08141_026E","B08141_026M","B08141_027E","B08141_027M","B08141_028E","B08141_028M","B08141_029E","B08141_029M","B08141_030E","B08141_030M","B08141_031E","B08141_031M","B08141_032E","B08141_032M","B08141_033E","B08141_033M","B08141_034E","B08141_034M","B08141_035E","B08141_035M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 or more vehicles available","Margin of Error!!Total:!!3 or more vehicles available","Estimate!!Total:!!Car, truck, or van - drove alone:","Margin of Error!!Total:!!Car, truck, or van - drove alone:","Estimate!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Estimate!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Estimate!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Estimate!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Estimate!!Total:!!Car, truck, or van - carpooled:","Margin of Error!!Total:!!Car, truck, or van - carpooled:","Estimate!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Estimate!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Estimate!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Estimate!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Estimate!!Total:!!Public transportation:","Margin of Error!!Total:!!Public transportation:","Estimate!!Total:!!Public transportation:!!No vehicle available","Margin of Error!!Total:!!Public transportation:!!No vehicle available","Estimate!!Total:!!Public transportation:!!1 vehicle available","Margin of Error!!Total:!!Public transportation:!!1 vehicle available","Estimate!!Total:!!Public transportation:!!2 vehicles available","Margin of Error!!Total:!!Public transportation:!!2 vehicles available","Estimate!!Total:!!Public transportation:!!3 or more vehicles available","Margin of Error!!Total:!!Public transportation:!!3 or more vehicles available","Estimate!!Total:!!Walked:","Margin of Error!!Total:!!Walked:","Estimate!!Total:!!Walked:!!No vehicle available","Margin of Error!!Total:!!Walked:!!No vehicle available","Estimate!!Total:!!Walked:!!1 vehicle available","Margin of Error!!Total:!!Walked:!!1 vehicle available","Estimate!!Total:!!Walked:!!2 vehicles available","Margin of Error!!Total:!!Walked:!!2 vehicles available","Estimate!!Total:!!Walked:!!3 or more vehicles available","Margin of Error!!Total:!!Walked:!!3 or more vehicles available","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!No vehicle available","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!No vehicle available","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!1 vehicle available","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!1 vehicle available","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!2 vehicles available","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!2 vehicles available","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!3 or more vehicles available","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!3 or more vehicles available","Estimate!!Total:!!Worked from home:","Margin of Error!!Total:!!Worked from home:","Estimate!!Total:!!Worked from home:!!No vehicle available","Margin of Error!!Total:!!Worked from home:!!No vehicle available","Estimate!!Total:!!Worked from home:!!1 vehicle available","Margin of Error!!Total:!!Worked from home:!!1 vehicle available","Estimate!!Total:!!Worked from home:!!2 vehicles available","Margin of Error!!Total:!!Worked from home:!!2 vehicles available","Estimate!!Total:!!Worked from home:!!3 or more vehicles available","Margin of Error!!Total:!!Worked from home:!!3 or more vehicles available",
"1400000US24031700313","Census Tract 7003.13; Montgomery County; Maryland","2371","373","83","60","676","270","1008","361","604","309","1260","309","35","51","280","105","762","298","183","155","231","193","12","20","76","74","70","138","73","92","154","165","0","14","144","165","0","14","10","21","15","28","0","14","0","14","0","14","15","28","40","43","20","31","0","14","20","30","0","14","671","240","16","25","176","110","156","93","323","234",
"1400000US24031700314","Census Tract 7003.14; Montgomery County; Maryland","2001","333","0","14","226","162","1132","263","643","211","940","191","0","14","83","95","538","120","319","135","84","65","0","14","0","14","37","44","47","49","32","33","0","14","0","14","32","33","0","14","82","113","0","14","82","113","0","14","0","14","46","54","0","14","0","14","46","54","0","14","817","278","0","14","61","50","479","224","277","122",
"1400000US24031700315","Census Tract 7003.15; Montgomery County; Maryland","3253","722","19","29","200","94","1325","305","1709","764","1902","746","0","19","78","60","594","252","1230","705","214","131","10","15","29","27","49","40","126","114","58","47","0","19","19","31","24","26","15","23","18","28","0","19","0","19","18","28","0","19","78","78","0","19","0","19","23","26","55","71","983","210","9","14","74","42","617","193","283","106",
"1400000US24031700316","Census Tract 7003.16; Montgomery County; Maryland","2008","246","46","61","384","173","1041","244","537","219","1120","233","16","28","139","77","655","166","310","185","256","142","30","38","29","43","85","71","112","103","17","29","0","14","0","14","17","29","0","14","33","50","0","14","33","50","0","14","0","14","81","65","0","14","67","60","14","21","0","14","501","165","0","14","116","74","270","120","115","97",
"1400000US24031700317","Census Tract 7003.17; Montgomery County; Maryland","4072","506","148","145","495","252","2126","459","1303","329","2530","457","74","113","387","213","1328","400","741","255","310","155","74","100","30","47","53","44","153","123","75","84","0","19","0","19","66","85","9","21","17","30","0","19","17","30","0","19","0","19","41","39","0","19","15","23","0","19","26","31","1099","311","0","19","46","52","679","260","374","165",
"1400000US24031700318","Census Tract 7003.18; Montgomery County; Maryland","1686","404","16","28","415","367","804","184","451","164","1125","403","16","28","342","364","523","150","244","114","25","38","0","14","0","14","0","14","25","38","13","17","0","14","0","14","7","12","6","11","0","14","0","14","0","14","0","14","0","14","5","16","0","14","0","14","5","16","0","14","518","152","0","14","73","56","269","129","176","99",
"1400000US24031700400","Census Tract 7004; Montgomery County; Maryland","1346","212","0","14","120","57","418","131","808","194","693","156","0","14","45","37","221","106","427","127","57","42","0","14","11","18","3","5","43","36","34","21","0","14","0","14","24","15","10","12","67","47","0","14","39","44","8","8","20","19","9","10","0","14","0","14","4","6","5","8","486","116","0","14","25","27","158","63","303","96",
"1400000US24031700500","Census Tract 7005; Montgomery County; Maryland","3990","384","17","27","268","154","1682","390","2023","443","2347","379","17","27","191","127","874","250","1265","359","148","116","0","19","0","19","71","85","77","93","101","92","0","19","0","19","32","39","69","88","41","43","0","19","0","19","9","13","32","40","0","19","0","19","0","19","0","19","0","19","1353","364","0","19","77","74","696","293","580","235",
"1400000US24031700604","Census Tract 7006.04; Montgomery County; Maryland","3725","454","48","53","199","122","1545","283","1933","500","2134","413","26","40","140","87","847","211","1121","399","131","117","0","19","17","27","61","76","53","86","84","66","0","19","0","19","59","55","25","37","0","19","0","19","0","19","0","19","0","19","109","121","0","19","0","19","0","19","109","121","1267","314","22","34","42","48","578","198","625","276",
"1400000US24031700606","Census Tract 7006.06; Montgomery County; Maryland","1993","277","18","29","261","107","992","255","722","235","1106","241","18","29","110","57","539","144","439","195","129","88","0","14","28","40","57","45","44","52","47","37","0","14","14","15","33","31","0","14","0","14","0","14","0","14","0","14","0","14","50","45","0","14","0","14","0","14","50","45","661","257","0","14","109","65","363","207","189","140",
"1400000US24031700608","Census Tract 7006.08; Montgomery County; Maryland","2647","304","32","35","196","109","1041","275","1378","305","1488","284","17","26","88","69","673","227","710","225","155","89","0","19","0","19","0","19","155","89","21","27","0","19","0","19","0","19","21","27","38","29","0","19","3","5","16","23","19","21","27","25","0","19","0","19","0","19","27","25","918","210","15","22","105","81","352","166","446","149",
"1400000US24031700610","Census Tract 7006.10; Montgomery County; Maryland","1085","174","4","8","102","44","577","150","402","172","623","141","0","14","47","31","354","136","222","78","90","43","0","14","0","14","25","21","65","45","23","17","0","14","14","12","9","11","0","14","0","14","0","14","0","14","0","14","0","14","22","19","0","14","0","14","22","19","0","14","327","90","4","8","41","26","167","54","115","87",
"1400000US24031700611","Census Tract 7006.11; Montgomery County; Maryland","3247","629","6","9","372","160","1728","335","1141","567","1525","336","6","9","179","102","729","246","611","272","302","112","0","19","68","63","151","61","83","68","153","91","0","19","16","20","137","88","0","19","22","21","0","19","0","19","22","21","0","19","68","58","0","19","23","35","45","43","0","19","1177","367","0","19","86","53","644","185","447","309",
"1400000US24031700613","Census Tract 7006.13; Montgomery County; Maryland","3511","431","14","22","664","235","1626","438","1207","330","1963","425","0","19","253","125","981","345","729","271","155","110","0","19","42","81","51","60","62","54","169","162","0","19","104","157","52","47","13","22","78","77","0","19","37","41","41","64","0","19","55","48","0","19","18","31","18","29","19","29","1091","291","14","22","210","140","483","217","384","154",
