dir_name,RouteNum,Status,TRACTCE,Geography,SquareMile,STATION_NA,MODE_,STATUS,STOPLAT,STOPLON
inboun,Georgia Ave BRT,BRT Network,703218,1400000US24031703218,0.237967404052,NA,NA,NA,NA,NA
inboun,Georgia Ave BRT,BRT Network,703216,1400000US24031703216,0.518621970867,NA,NA,NA,NA,NA
inboun,Georgia Ave BRT,BRT Network,701315,1400000US24031701315,1.01964750499,Olney Transit Center / Montgomery General Hospital,Bus Rapid Transit,Planned,39.1585226,-77.0527544
inboun,Georgia Ave BRT,BRT Network,701314,1400000US24031701314,0.548753732069,NA,NA,NA,NA,NA
outbou,Georgia Ave BRT,BRT Network,701304,1400000US24031701304,2.83865322453,NA,NA,NA,NA,NA
outbou,Georgia Ave BRT,BRT Network,701312,1400000US24031701312,1.5652752681,MD 97 and Hines Road,Bus Rapid Transit,Planned,39.1527986,-77.0801289
outbou,Georgia Ave BRT,BRT Network,701312,1400000US24031701312,1.5652752681,MD 108 and MD 97,Bus Rapid Transit,Planned,39.1527986,-77.0801289
outbou,Georgia Ave BRT,BRT Network,701313,1400000US24031701313,1.01909352896,NA,NA,NA,NA,NA
Outbou,NH Ave BRT,Planning,701507,1400000US24031701507,2.14390131931,NA,NA,NA,NA,NA
Outbou,NH Ave BRT,Planning,701415,1400000US24031701415,2.75321128147,Randolph Road and Fairland Road,Bus Rapid Transit,Planned,39.084308299999996,-76.9894825
Outbou,NH Ave BRT,Planning,701415,1400000US24031701415,2.75321128147,Colesville Park-and-Ride,Bus Rapid Transit,Planned,39.084308299999996,-76.9894825
Outbou,NH Ave BRT,Planning,701509,1400000US24031701509,1.5772360808,White Oak Transit Center,Bus Rapid Transit,Existing,39.0331015,-76.9767518
Outbou,NH Ave BRT,Planning,701509,1400000US24031701509,1.5772360808,MD 650 at Hillandale,Bus Rapid Transit,Planned,39.0331015,-76.9767518
Outbou,NH Ave BRT,Planning,701509,1400000US24031701509,1.5772360808,FDA White Oak Campus,Bus Rapid Transit,Existing,39.0331015,-76.9767518
Outbou,NH Ave BRT,Planning,701601,1400000US24031701601,0.116477171577,MD 650 and Oakview Drive,Bus Rapid Transit,Planned,39.0147267,-76.9763685
Outbou,NH Ave BRT,Planning,701503,1400000US24031701503,1.73855501943,MD 650 and Jackson Road,Bus Rapid Transit,Planned,39.0601655,-76.9902806
Outbou,NH Ave BRT,Planning,701503,1400000US24031701503,1.73855501943,MD 650 and Valleybrook Drive,Bus Rapid Transit,Planned,39.0601655,-76.9902806
Outbou,NH Ave BRT,Planning,701503,1400000US24031701503,1.73855501943,MD 650 and Randolph Road,Bus Rapid Transit,Planned,39.0601655,-76.9902806
Outbou,NH Ave BRT,Planning,701703,1400000US24031701703,0.425825049934,NA,NA,NA,NA,NA
Outbou,NH Ave BRT,Planning,701704,1400000US24031701704,0.500129265615,NA,NA,NA,NA,NA
Inboun,NH Ave BRT,Planning,701506,1400000US24031701506,2.3422497873,US 29 and Hillwood Drive,Bus Rapid Transit,Existing,39.0548604,-77.0050149
Inboun,NH Ave BRT,Planning,701505,1400000US24031701505,1.29061230164,Lockwood Drive and Oak Leaf Drive,Bus Rapid Transit,Existing,39.0300467,-76.9933235
inboun,US29 BRT,In Service,701506,1400000US24031701506,2.3422497873,US 29 and Hillwood Drive,Bus Rapid Transit,Existing,39.0548604,-77.0050149
inboun,US29 BRT,In Service,701414,1400000US24031701414,2.22784721939,US 29 and Tech Road,Bus Rapid Transit,Existing,39.0726448,-76.9660918
inboun,US29 BRT,In Service,701414,1400000US24031701414,2.22784721939,US 29 and Fairland Road,Bus Rapid Transit,NA,39.0726448,-76.9660918
inboun,US29 BRT,In Service,702200,1400000US24031702200,0.638393024128,MD 193 and E Franklin Avenue,Bus Rapid Transit,Planned,39.0093138,-77.0065074
inboun,US29 BRT,In Service,702302,1400000US24031702302,0.598382975146,US 29 and Franklin Avenue,Bus Rapid Transit,NA,39.0094941,-77.0189819
inboun,US29 BRT,In Service,702900,1400000US24031702900,0.990371702527,NA,NA,NA,NA,NA
inboun,US29 BRT,In Service,703000,1400000US24031703000,0.419991078178,NA,NA,NA,NA,NA
inboun,US29 BRT,In Service,703100,1400000US24031703100,0.69944646206,MD 193 and US 29,Bus Rapid Transit,Existing,39.0264084,-77.0220358
inboun,US29 BRT,In Service,703100,1400000US24031703100,0.69944646206,US 29 and MD 193,Bus Rapid Transit,Existing,39.0264084,-77.0220358
inboun,US29 BRT,In Service,703100,1400000US24031703100,0.69944646206,MD 193 and Dennis Avenue,Bus Rapid Transit,Planned,39.0264084,-77.0220358
inboun,US29 BRT,In Service,703100,1400000US24031703100,0.69944646206,MD 193 and Arcola Avenue,Bus Rapid Transit,Planned,39.0264084,-77.0220358
inboun,US29 BRT,In Service,703210,1400000US24031703210,0.601091687607,NA,NA,NA,NA,NA
inboun,US29 BRT,In Service,702501,1400000US24031702501,0.128659467514,MD 97 and Eastern Avenue/Burlington Avenue/Montgomery College - Silver Spring/Takoma Park Campus,Bus Rapid Transit,Planned,38.9908535,-77.02863
inboun,US29 BRT,In Service,702503,1400000US24031702503,0.157705967941,US 29 and Fenton Street,Bus Rapid Transit,Existing,38.997102,-77.0281693
inboun,US29 BRT,In Service,702503,1400000US24031702503,0.157705967941,MD 97 and Cameron Street,Bus Rapid Transit,Planned,38.997102,-77.0281693
inboun,US29 BRT,In Service,701508,1400000US24031701508,0.353486892387,NA,NA,NA,NA,NA
inboun,US29 BRT,In Service,701423,1400000US24031701423,0.411510645549,NA,NA,NA,NA,NA
inboun,US29 BRT,In Service,701422,1400000US24031701422,0.124912360252,NA,NA,NA,NA,NA
inboun,US29 BRT,In Service,701509,1400000US24031701509,1.5772360808,White Oak Transit Center,Bus Rapid Transit,Existing,39.0331015,-76.9767518
inboun,US29 BRT,In Service,701509,1400000US24031701509,1.5772360808,MD 650 at Hillandale,Bus Rapid Transit,Planned,39.0331015,-76.9767518
inboun,US29 BRT,In Service,701509,1400000US24031701509,1.5772360808,FDA White Oak Campus,Bus Rapid Transit,Existing,39.0331015,-76.9767518
inboun,US29 BRT,In Service,701409,1400000US24031701409,2.5779668562,NA,NA,NA,NA,NA
inboun,US29 BRT,In Service,701417,1400000US24031701417,0.830253064357,Briggs Chaney Park and Ride,Bus Rapid Transit,Existing,39.0769598,-76.9381795
inboun,US29 BRT,In Service,701503,1400000US24031701503,1.73855501943,MD 650 and Jackson Road,Bus Rapid Transit,Planned,39.0601655,-76.9902806
inboun,US29 BRT,In Service,701503,1400000US24031701503,1.73855501943,MD 650 and Valleybrook Drive,Bus Rapid Transit,Planned,39.0601655,-76.9902806
inboun,US29 BRT,In Service,701503,1400000US24031701503,1.73855501943,MD 650 and Randolph Road,Bus Rapid Transit,Planned,39.0601655,-76.9902806
inboun,US29 BRT,In Service,701505,1400000US24031701505,1.29061230164,Lockwood Drive and Oak Leaf Drive,Bus Rapid Transit,Existing,39.0300467,-76.9933235
outbou,US29 BRT,In Service,701424,1400000US24031701424,0.85204152369,NA,NA,NA,NA,NA
outbou,US29 BRT,In Service,702502,1400000US24031702502,0.148070824573,MD 97 and East-West Highway,Bus Rapid Transit,Planned,38.9879974,-77.0247984
outbou,US29 BRT,In Service,701418,1400000US24031701418,0.465092502763,NA,NA,NA,NA,NA
inboun,MD355 South BRT,Planning,700901,1400000US24031700901,0.654820216764,Rockville Metro Station,Bus Rapid Transit,Planned,39.0865869,-77.1522375
inboun,MD355 South BRT,Planning,700901,1400000US24031700901,0.654820216764,MD 355 and Mannakee Street/Montgomery College - Rockville Campus,Bus Rapid Transit,Planned,39.0865869,-77.1522375
inboun,MD355 South BRT,Planning,700904,1400000US24031700904,0.437553300493,Twinbrook Metro Station,Bus Rapid Transit,Planned,39.0656133,-77.1290436
inboun,MD355 South BRT,Planning,700904,1400000US24031700904,0.437553300493,MD 355 and Templeton Place,Bus Rapid Transit,Planned,39.0656133,-77.1290436
inboun,MD355 South BRT,Planning,700904,1400000US24031700904,0.437553300493,MD 355 and Edmonston Drive,Bus Rapid Transit,Planned,39.0656133,-77.1290436
inboun,MD355 South BRT,Planning,701004,1400000US24031701004,1.18784491022,MD 355 and Gude Drive,Bus Rapid Transit,Planned,39.0986188,-77.1659654
inboun,MD355 South BRT,Planning,704806,1400000US24031704806,0.157364495465,MD 355 and Cordell Avenue,Bus Rapid Transit,Planned,38.9906261,-77.0980578
inboun,MD355 South BRT,Planning,704805,1400000US24031704805,0.119379142503,NA,NA,NA,NA,NA
inboun,MD355 South BRT,Planning,701218,1400000US24031701218,0.280277371169,MD 355 and Hubbard Drive,Bus Rapid Transit,Planned,39.05568,-77.1197203
inboun,MD355 South BRT,Planning,704804,1400000US24031704804,0.133016787027,NA,NA,NA,NA,NA
inboun,MD355 South BRT,Planning,704403,1400000US24031704403,0.0967042658043,NA,NA,NA,NA,NA
inboun,MD355 South BRT,Planning,704404,1400000US24031704404,1.02711070015,MD 355 and Pooks Hill Road,Bus Rapid Transit,Planned,39.0120658,-77.0997918
inboun,MD355 South BRT,Planning,701216,1400000US24031701216,0.52466257142,White Flint Metro Station,Bus Rapid Transit,Planned,39.0478603,-77.1158425
inboun,MD355 South BRT,Planning,701216,1400000US24031701216,0.52466257142,MD 187 and Executive Boulevard/Hoya Drive,Bus Rapid Transit,Planned,39.0478603,-77.1158425
inboun,MD355 South BRT,Planning,701202,1400000US24031701202,0.690919108727,MD 355 and Security Lane,Bus Rapid Transit,Planned,39.0386325,-77.1001237
inboun,MD355 South BRT,Planning,704401,1400000US24031704401,0.87472135542,NA,NA,NA,NA,NA
inboun,MD355 South BRT,Planning,701214,1400000US24031701214,0.485304055922,Grosvenor-Strathmore Metro Station,Bus Rapid Transit,Planned,39.0295353,-77.0984854
inboun,MD355 South BRT,Planning,705000,1400000US24031705000,1.76419907314,Medical Center Metro Station,Bus Rapid Transit,Planned,38.9984654,-77.0906078
inboun,MD355 South BRT,Planning,705000,1400000US24031705000,1.76419907314,MD 355 and Cedar Lane,Bus Rapid Transit,Planned,38.9984654,-77.0906078
outbou,MD355 South BRT,Planning,701001,1400000US24031701001,1.97731399531,NA,NA,NA,NA,NA
outbou,MD355 South BRT,Planning,701223,1400000US24031701223,0.280509698377,NA,NA,NA,NA,NA
inboun,US29 BRT,In Service,701426,1400000US24031701426,1.89317258379,Burtonsville Park and Ride,Bus Rapid Transit,Existing,39.1131808,-76.9207785
outbou,US29 BRT,In Service,701408,1400000US24031701408,10.1402558806,NA,NA,NA,NA,NA
outbou,US29 BRT,In Service,702102,1400000US24031702102,0.639678276664,NA,NA,NA,NA,NA
outbou,US29 BRT,In Service,701425,1400000US24031701425,1.86940537674,NA,NA,NA,NA,NA
inboun,MD355 Central BRT,Design,700902,1400000US24031700902,0.663670445899,MD 586 and Norbeck Road,Bus Rapid Transit,Planned,39.0896147,-77.1442283
inboun,MD355 Central BRT,Design,701211,1400000US24031701211,2.53698446202,NA,NA,NA,NA,NA
