TRACTCE,GEOID,Geography,NAME,route_name,DESCRIPTIO,RT_D,ROUTE,DIRECTION,ORIGIN,DESTINATIO,STATE,GEOMETRYSO,OBJECTID,SHAPE_ID,SHAPELEN,route_id,route_short_name,route_long_name,route_desc,route_color,route_text_color,route_type_text,wkday_departures,sat_departures,sun_departures,agency,wkday_riders,sat_riders,sun_riders,SquareMile
704503,24031704503,1400000US24031704503,7045.03,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.650228034881
705000,24031705000,1400000US24031705000,7050,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,1.76419907314
705100,24031705100,1400000US24031705100,7051,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,1.32165893605
705200,24031705200,1400000US24031705200,7052,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.70257202348
705400,24031705400,1400000US24031705400,7054,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.759049966206
702503,24031702503,1400000US24031702503,7025.03,M70,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,Silver Spring+Bay 102,Montgomery Mall+Bay F,MD,GTFS SHAPE TXT,36036,M70:51,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.157705967941
704401,24031704401,1400000US24031704401,7044.01,M70,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,Silver Spring+Bay 102,Montgomery Mall+Bay F,MD,GTFS SHAPE TXT,36036,M70:51,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.87472135542
705601,24031705601,1400000US24031705601,7056.01,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,0.457845935196
705501,24031705501,1400000US24031705501,7055.01,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,0.191530678044
705701,24031705701,1400000US24031705701,7057.01,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,0.740692932378
705901,24031705901,1400000US24031705901,7059.01,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,1.97519103156
706009,24031706009,1400000US24031706009,7060.09,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,4.56311917749
701210,24031701210,1400000US24031701210,7012.1,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,1.00144722263
700902,24031700902,1400000US24031700902,7009.02,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,0.663670445899
706005,24031706005,1400000US24031706005,7060.05,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,3.92936963541
700901,24031700901,1400000US24031700901,7009.01,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,0.654820216764
701001,24031701001,1400000US24031701001,7010.01,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,1.97731399531
701002,24031701002,1400000US24031701002,7010.02,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,1.04748758829
701005,24031701005,1400000US24031701005,7010.05,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,0.730637692366
706011,24031706011,1400000US24031706011,7060.11,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,1.46708219146
706013,24031706013,1400000US24031706013,7060.13,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,1.60754786654
705502,24031705502,1400000US24031705502,7055.02,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,1.02272191013
705602,24031705602,1400000US24031705602,7056.02,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,0.0876654150177
701206,24031701206,1400000US24031701206,7012.06,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,1.91053178454
705902,24031705902,1400000US24031705902,7059.02,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,1.41521959021
705903,24031705903,1400000US24031705903,7059.03,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,1.09974792825
706007,24031706007,1400000US24031706007,7060.07,M82,[M82]FRIENDSHIP HTS - ROCKVILLE,M82_N,M82,N,Friendship Heights+Bay J,Rockville+Bay A,MD,GTFS SHAPE TXT,36037,M82:03,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,4.9793138374
701006,24031701006,1400000US24031701006,7010.06,M82,[M82]ROCKVILLE - FRIENDSHIP HTS,M82_S,M82,S,Rockville+Bay A,Friendship Heights+Bay J,MD,GTFS SHAPE TXT,36038,M82:51,0,NA,NA,NA,NA,NA,NA,NA,58,51,51,WMATA,813,450,385,1.73254272156
701601,24031701601,1400000US24031701601,7016.01,P15,[P15]FT TOTTEN - ADELPHI,P15_N,P15,N,Fort Totten+Bay D,Riggs Rd+Edwards Wy,MD,GTFS SHAPE TXT,36045,P15:03,0,NA,NA,NA,NA,NA,NA,NA,25,0,0,WMATA,685,0,0,0.116477171577
701425,24031701425,1400000US24031701425,7014.25,P16,[P16]FT TOTTEN - PLUM ORCHARD,P16_N,P16,N,Fort Totten+Bay D,Plum Orchard Dr+Adventist Medical Ctr,MD,GTFS SHAPE TXT,36047,P16:03,0,NA,NA,NA,NA,NA,NA,NA,110,64,58,WMATA,3286,1643,1042,1.86940537674
701424,24031701424,1400000US24031701424,7014.24,P16,[P16]FT TOTTEN - PLUM ORCHARD,P16_N,P16,N,Fort Totten+Bay D,Plum Orchard Dr+Adventist Medical Ctr,MD,GTFS SHAPE TXT,36047,P16:03,0,NA,NA,NA,NA,NA,NA,NA,110,64,58,WMATA,3286,1643,1042,0.85204152369
702402,24031702402,1400000US24031702402,7024.02,P30,[P30]SILVER SPG - NEW CRLTN,P30_E,P30,E,Silver Spring+Bay 223,New Carrollton Station+Bus Bay T4,MD,GTFS SHAPE TXT,36073,P30:05,0,NA,NA,NA,NA,NA,NA,NA,178,163,157,WMATA,6296,4883,3074,0.372441589156
702501,24031702501,1400000US24031702501,7025.01,P30,[P30]SILVER SPG - NEW CRLTN,P30_E,P30,E,Silver Spring+Bay 223,New Carrollton Station+Bus Bay T4,MD,GTFS SHAPE TXT,36073,P30:05,0,NA,NA,NA,NA,NA,NA,NA,178,163,157,WMATA,6296,4883,3074,0.128659467514
702503,24031702503,1400000US24031702503,7025.03,P30,[P30]SILVER SPG - NEW CRLTN,P30_E,P30,E,Silver Spring+Bay 223,New Carrollton Station+Bus Bay T4,MD,GTFS SHAPE TXT,36073,P30:05,0,NA,NA,NA,NA,NA,NA,NA,178,163,157,WMATA,6296,4883,3074,0.157705967941
702502,24031702502,1400000US24031702502,7025.02,P30,[P30]SILVER SPG - NEW CRLTN,P30_E,P30,E,Silver Spring+Bay 223,New Carrollton Station+Bus Bay T4,MD,GTFS SHAPE TXT,36073,P30:05,0,NA,NA,NA,NA,NA,NA,NA,178,163,157,WMATA,6296,4883,3074,0.148070824573
701701,24031701701,1400000US24031701701,7017.01,P30,[P30]SILVER SPG - NEW CRLTN,P30_E,P30,E,Silver Spring+Bay 223,New Carrollton Station+Bus Bay T4,MD,GTFS SHAPE TXT,36073,P30:05,0,NA,NA,NA,NA,NA,NA,NA,178,163,157,WMATA,6296,4883,3074,0.353057979666
701704,24031701704,1400000US24031701704,7017.04,P30,[P30]SILVER SPG - NEW CRLTN,P30_E,P30,E,Silver Spring+Bay 223,New Carrollton Station+Bus Bay T4,MD,GTFS SHAPE TXT,36073,P30:05,0,NA,NA,NA,NA,NA,NA,NA,178,163,157,WMATA,6296,4883,3074,0.500129265615
701800,24031701800,1400000US24031701800,7018,P30,[P30]SILVER SPG - NEW CRLTN,P30_E,P30,E,Silver Spring+Bay 223,New Carrollton Station+Bus Bay T4,MD,GTFS SHAPE TXT,36073,P30:05,0,NA,NA,NA,NA,NA,NA,NA,178,163,157,WMATA,6296,4883,3074,0.581688532484
701703,24031701703,1400000US24031701703,7017.03,P31,[P31]TAKOMA LANGLEY - NEW CRLTN,P31_E,P31,E,Takoma Langley+Bay C,New Carrollton Station+Bus Bay T5,MD,GTFS SHAPE TXT,36077,P31:06,0,NA,NA,NA,NA,NA,NA,NA,70,65,61,WMATA,1566,1370,959,0.425825049934
703404,24031703404,1400000US24031703404,7034.04,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.221163602767
701506,24031701506,1400000US24031701506,7015.06,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,2.3422497873
701414,24031701414,1400000US24031701414,7014.14,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,2.22784721939
703702,24031703702,1400000US24031703702,7037.02,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.479713342524
703501,24031703501,1400000US24031703501,7035.01,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.882391261754
703206,24031703206,1400000US24031703206,7032.06,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,1.0300978261
703207,24031703207,1400000US24031703207,7032.07,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,1.55196310612
703401,24031703401,1400000US24031703401,7034.01,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.687563903697
703403,24031703403,1400000US24031703403,7034.03,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.468952174931
703222,24031703222,1400000US24031703222,7032.22,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.628478373511
