Geography,SquareMile,totalBuildings,totalDwellings,halfm_stop_totalBuildings,halfm_stop_totalDwellings,quarterm_stop_totalBuildings,quarterm_stop_totalDwellings,halfm_ROUTE_totalBuildings,halfm_ROUTE_totalDwellings,quarterm_ROUTE_totalBuildings,quarterm_ROUTE_totalDwellings,nobus_stop_totalBuildings,nobus_stop_totalDwellings,nobus_ROUTE_totalBuildings,nobus_ROUTE_totalDwellings,halfm_route_BRT_totalBuildings,halfm_route_BRT_totalDwellings,quarterm_route_BRT_totalBuildings,quarterm_route_BRT_totalDwellings,Building_halfm_ROUTE_no_stop,Dwell_halfm_ROUTE_no_stop,Building_quarterm_ROUTE_no_stop,Dwell_quarterm_ROUTE_no_stop,Building_quarterm_ROUTE_no_stop_at_ALL,Dwell_quarterm_ROUTE_no_stop_at_ALL,propBuilding_quarterm_stop,propDwell_quarterm_stop,propBuilding_halfm_stop,propDwell_halfm_stop,propBuilding_quarterm_ROUTE,propDwell_quarterm_ROUTE,propBuilding_halfm_ROUTE,propDwell_halfm_ROUTE,propBuilding_nobus_stop,propDwell_nobus_stop,propBuilding_nobus_ROUTE,propDwell_nobus_ROUTE,propBuilding_halfm_ROUTE_no_stop,propDwell_halfm_ROUTE_no_stop,propBuilding_quarterm_ROUTE_no_stop,propDwell_quarterm_ROUTE_no_stop,propBuilding_quarterm_ROUTE_no_stop_at_ALL,propDwell_quarterm_ROUTE_no_stop_at_ALL,propBuilding_halfm_BRT_ROUTE,propDwell_halfm_BRT_ROUTE,propBuilding_quarterm_BRT_ROUTE,propDwell_quarterm_BRT_ROUTE,totalRoutes,totalMeanWkdayRouteRiders,totalMeanSatRouteRiders,totalMeanSunRouteRiders,meanMeanWkdayRouteRiders,meanMeanSatRoudeRiders,meanMeanSunRouteRiders,totalWkdayDepartures,totalSatDepartures,totalSunDepartures,meanWkdayDepartures,medianWkdayDepartures,is_sunday,is_sat_not_sun,routes_wmata,routes_rideon,most_agency,estPopulation,estHouseholds,estPopChildren14Under,estPopElderly65Over,estHouseholds_0Vehicle,estHouseholds_MorePeopleThanVehicles,estHouseholds_LessVehiclesThanWorkers,estHouseholds_1Vehicle_2PlusPeople,estHouseholds_2Vehicle_3PlusPeople,estHouseholds_2PlusWorkers1Vehicle,estHouseholds_2PlusWorkers0Vehicles,propEstHouseholds_0Vehicle,propEstHouseholds_MorePeopleThanVehicles,propEstHouseholds_LessVehiclesThanWorkers,propEstPopChildren14Under,propEstPopElderly65Over,brt_routes,brt_stops,has_brt_route,has_brt_stop
1400000US24031700617,0.435650649537,852,852,852,852,668,668,852,852,667,667,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0.784037558685446,0.784037558685446,1,1,0.7828638497652582,0.7828638497652582,1,1,0,0,0,0,0,0,0.005868544600938967,0.005868544600938967,0,0,0,0,0,0,2,1674,909,525,837,454,262,94,53,46,47,47,1,1,0,2,RideOn,1872,700,262,404,36,326,69,109,161,28,0,0.05142857142857143,0.4657142857142857,0.09857142857142857,0.13995726495726496,0.21581196581196582,0,0,0,0
1400000US24031700618,1.08335856676,1648,1649,1648,1649,1130,1131,1648,1649,1267,1268,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0.6856796116504854,0.6858702243784112,1,1,0.7688106796116505,0.7689508793208005,1,1,0,0,0,0,0,0,0.08373786407766991,0.08368708308065494,0,0,0,0,0,0,3,1765,964,547,588,321,182,112,71,64,37,18,1,1,0,3,RideOn,5606,1685,841,1092,26,989,242,176,626,47,17,0.01543026706231454,0.5869436201780416,0.14362017804154303,0.15001783803068142,0.19479129504102746,0,0,0,0
1400000US24031700706,1.42066968698,755,1752,753,1750,642,1640,755,1752,669,1667,2,2,0,0,61,61,0,0,2,2,30,30,0,0,0.8503311258278146,0.9360730593607306,0.9973509933774835,0.9988584474885844,0.8860927152317881,0.9514840182648402,1,1,0.0026490066225165563,0.001141552511415525,0,0,0.0026490066225165563,0.001141552511415525,0.039735099337748346,0.017123287671232876,0,0,0.08079470198675497,0.034817351598173514,0,0,9,6281,3301,2076,698,367,231,512,264,202,57,44,1,1,0,9,RideOn,4324,1547,878,353,128,838,250,319,288,141,47,0.08274078862314156,0.5416936005171299,0.16160310277957338,0.2030527289546716,0.08163737280296023,0,0,0,0
1400000US24031700710,1.26454855524,1746,2045,1746,2045,1605,1904,1746,2045,1616,1915,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0.9192439862542955,0.9310513447432763,1,1,0.9255441008018328,0.9364303178484108,1,1,0,0,0,0,0,0,0.0074455899198167235,0.006356968215158924,0,0,0,0,0,0,7,3805,1991,1241,544,284,177,326,164,144,47,57,1,1,0,7,RideOn,6395,2015,1146,1067,26,1108,205,195,696,101,0,0.012903225806451613,0.5498759305210918,0.10173697270471464,0.17920250195465207,0.16684910086004692,0,0,0,0
1400000US24031700711,1.77369636756,2098,3198,2098,3198,1329,2407,2098,3198,2025,3125,0,0,0,0,367,1130,12,357,0,0,696,718,0,0,0.6334604385128694,0.7526579111944965,1,1,0.9652049571020019,0.9771732332707942,1,1,0,0,0,0,0,0,0.3317445185891325,0.22451532207629768,0,0,0.17492850333651097,0.3533458411507192,0.005719733079122974,0.11163227016885553,18,9304,4613,2635,517,256,146,1083,566,412,60,59,1,1,0,18,RideOn,7102,2589,1270,1112,147,1150,318,306,438,183,0,0.056778679026651215,0.44418694476631904,0.12282734646581692,0.17882286679808504,0.15657561250352015,0,0,0,0
1400000US24031700713,0.589348438273,870,1884,870,1884,870,1884,870,1884,870,1884,0,0,0,0,77,1091,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.08850574712643679,0.5790870488322718,0,0,9,15649,9838,6746,1739,1093,750,708,459,414,79,79,1,1,0,9,RideOn,4932,1882,1010,352,256,928,397,457,177,200,32,0.13602550478214664,0.49309245483528164,0.21094580233793836,0.20478507704785076,0.07137064071370641,1,2,1,1
1400000US24031700715,0.914798063137,1765,1765,1765,1765,1743,1743,1765,1765,1744,1744,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.9875354107648725,0.9875354107648725,1,1,0.9881019830028328,0.9881019830028328,1,1,0,0,0,0,0,0,5.665722379603399e-4,5.665722379603399e-4,0,0,0,0,0,0,3,2195,1249,784,732,416,261,150,97,91,50,64,1,1,0,3,RideOn,6461,1803,1491,750,29,999,96,338,438,37,21,0.01608430393788131,0.5540765391014975,0.05324459234608985,0.23076923076923078,0.11608110199659495,0,0,0,0
1400000US24031700718,1.00853668473,987,3301,987,3301,987,3301,987,3301,987,3301,0,0,0,0,781,2058,371,1386,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.7912867274569402,0.6234474401696456,0.375886524822695,0.41987276582853683,16,13718,7258,4672,857,454,292,1076,531,384,67,56,1,1,0,16,RideOn,5991,3067,722,1922,296,1388,279,724,368,227,0,0.09651124877730681,0.45255950440169546,0.09096837300293446,0.12051410449006844,0.3208145551660825,1,4,1,1
1400000US24031700720,0.591243831062,763,869,763,869,576,682,763,869,697,803,0,0,0,0,0,0,0,0,0,0,124,124,0,0,0.7549148099606815,0.7848101265822784,1,1,0.9134993446920052,0.9240506329113924,1,1,0,0,0,0,0,0,0.16251638269986893,0.142692750287687,0,0,0,0,0,0,4,2201,1305,812,550,326,203,179,115,101,45,43,1,1,0,4,RideOn,3437,996,690,685,47,545,92,167,187,42,0,0.04718875502008032,0.5471887550200804,0.09236947791164658,0.2007564736688973,0.19930171661332557,0,0,0,0
1400000US24031700721,0.161455960139,88,1425,88,1425,88,1425,88,1425,88,1425,0,0,0,0,5,1000,2,150,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.056818181818181816,0.7017543859649122,0.022727272727272728,0.10526315789473684,4,9160,6332,4447,2290,1583,1112,302,232,213,76,76,1,1,0,4,RideOn,3732,1525,572,597,80,838,311,523,224,152,22,0.05245901639344262,0.5495081967213115,0.2039344262295082,0.1532690246516613,0.159967845659164,0,0,0,0
