route_name,wkday_departures,sat_departures,sun_departures,agency,wkday_riders,sat_riders,sun_riders
D74,131,105,105,WMATA,5480,3095,2274
D80,268,270,270,WMATA,10456,9483,7122
D82,48,0,0,WMATA,1539,0,0
D90,104,58,58,WMATA,1749,805,628
D94,101,74,74,WMATA,2248,954,718
D96,91,68,64,WMATA,2517,1344,896
F19,14,0,0,WMATA,239,0,0
F1X,116,99,99,WMATA,1686,1366,993
F20,180,173,165,WMATA,6223,5161,3808
F23,50,45,45,WMATA,956,680,422
F24,49,46,46,WMATA,916,751,496
F26,40,25,26,WMATA,420,249,157
F28,22,0,0,WMATA,321,0,0
F29,16,0,0,WMATA,182,0,0
F44,68,65,61,WMATA,1823,1645,986
F50,69,49,42,WMATA,1216,585,395
F60,52,47,44,WMATA,1094,884,593
F61,66,60,59,WMATA,1077,825,561
F62,74,64,59,WMATA,1150,737,476
F81,29,0,0,WMATA,588,0,0
F83,14,0,0,WMATA,265,0,0
F85,24,0,0,WMATA,348,0,0
M12,221,177,175,WMATA,6502,4763,3202
M20,253,180,174,WMATA,4746,2483,1706
M22,97,109,109,WMATA,2877,3234,2109
M42,75,36,34,WMATA,2561,1205,760
M44,77,34,32,WMATA,3081,1397,913
M52,70,65,65,WMATA,2186,1412,886
M54,85,82,82,WMATA,1767,1376,938
M60,181,170,173,WMATA,6602,5732,3971
M6X,53,0,0,WMATA,683,0,0
M70,198,174,173,WMATA,4523,2872,1995
M82,58,51,51,WMATA,813,450,385
P10,72,78,62,WMATA,1329,1104,601
P12,42,35,32,WMATA,692,420,288
P14,68,68,30,WMATA,1156,797,290
P15,25,0,0,WMATA,685,0,0
P16,110,64,58,WMATA,3286,1643,1042
P1X,108,106,94,WMATA,1558,1336,896
P20,71,62,62,WMATA,1907,1230,898
P21,68,32,32,WMATA,1205,366,299
P24,67,61,30,WMATA,935,462,159
P30,178,163,157,WMATA,6296,4883,3074
P31,70,65,61,WMATA,1566,1370,959
P32,69,26,24,WMATA,2747,1178,699
P33,97,54,50,WMATA,1718,749,510
P35,58,0,0,WMATA,1064,0,0
P40,171,156,153,WMATA,5510,3576,2268
P41,114,105,106,WMATA,1552,1132,763
P42,83,59,51,WMATA,1847,1184,716
P60,180,167,165,WMATA,4241,2659,2007
P61,79,70,60,WMATA,1571,1039,802
P62,66,36,34,WMATA,1554,774,597
P63,51,30,28,WMATA,929,381,305
P66,83,66,64,WMATA,1425,752,688
P72,49,26,26,WMATA,644,317,246
P73,55,0,0,WMATA,515,0,0
P87,73,36,29,WMATA,910,490,282
P90,138,72,69,WMATA,2206,1630,1010
P93,82,71,71,WMATA,1885,1227,921
P94,107,96,96,WMATA,2901,2372,1623
P96,74,72,63,WMATA,935,814,515
P97,51,0,0,WMATA,677,0,0
