Join_Count,TARGET_FID,JOIN_FID,STATEFP,COUNTYFP,TRACTCE,GEOID,Geography,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,shape_id,route_id,agency_id,route_short_name,route_long,route_desc,route_type,route_url,route_colo,route_text,route_ty_1,Shape_Length,Shape_Area,wkday_departures,sat_departures,sun_departures
1,1434,172,24,031,704401,24031704401,1400000US24031704401,7044.01,Census Tract 7044.01,G5020,S,2263541,1986,39.0218818,-77.1147298,0.075832004589034,37212,8890,MCRO,6,6-Parkside-Grosvenor-Mont. Mall,Rte 6 operates Monday-Friday,3,NA,00FFFF,FFFFFF,Bus,0.080007683475322,2.35652241067e-4,40,NA,NA
1,1434,192,24,031,704401,24031704401,1400000US24031704401,7044.01,Census Tract 7044.01,G5020,S,2263541,1986,39.0218818,-77.1147298,0.333545643065808,37235,8899,MCRO,70,70-Germantown-Bethesda EXPRESS,Rte 70 operates Monday-Friday,3,NA,800080,FFFFFF,Bus,0.080007683475322,2.35652241067e-4,44,NA,NA
1,1434,241,24,031,704401,24031704401,1400000US24031704401,7044.01,Census Tract 7044.01,G5020,S,2263541,1986,39.0218818,-77.1147298,0.081080138045114,37296,8914,MCRO,96,96-Grosvenor-Rock Spring-Montg Mall,Rte 96 operates Monday-Friday,3,NA,DCB8B8,FFFFFF,Bus,0.080007683475322,2.35652241067e-4,34,NA,NA
1,1435,122,24,031,704501,24031704501,1400000US24031704501,7045.01,Census Tract 7045.01,G5020,S,2216362,404,39.01776,-77.1345988,0.208082754000072,37160,8877,MCRO,47,47-Rockville-Mont. Mall-Bethesda,Rte 47 operates Monday-Sunday,3,NA,008080,FFFFFF,Bus,0.076381867474139,2.30564893325e-4,68,50,50
1,1435,172,24,031,704501,24031704501,1400000US24031704501,7045.01,Census Tract 7045.01,G5020,S,2216362,404,39.01776,-77.1345988,0.075832004589034,37212,8890,MCRO,6,6-Parkside-Grosvenor-Mont. Mall,Rte 6 operates Monday-Friday,3,NA,00FFFF,FFFFFF,Bus,0.076381867474139,2.30564893325e-4,40,NA,NA
1,1435,193,24,031,704501,24031704501,1400000US24031704501,7045.01,Census Tract 7045.01,G5020,S,2216362,404,39.01776,-77.1345988,0.292206044762449,37236,8899,MCRO,70,70-Germantown-Bethesda EXPRESS,Rte 70 operates Monday-Friday,3,NA,800080,FFFFFF,Bus,0.076381867474139,2.30564893325e-4,44,NA,NA
1,1435,241,24,031,704501,24031704501,1400000US24031704501,7045.01,Census Tract 7045.01,G5020,S,2216362,404,39.01776,-77.1345988,0.081080138045114,37296,8914,MCRO,96,96-Grosvenor-Rock Spring-Montg Mall,Rte 96 operates Monday-Friday,3,NA,DCB8B8,FFFFFF,Bus,0.076381867474139,2.30564893325e-4,34,NA,NA
1,1436,62,24,031,704503,24031704503,1400000US24031704503,7045.03,Census Tract 7045.03,G5020,S,1684087,0,39.00658,-77.1190762,0.111808722839081,37099,8859,MCRO,30,30-Bethesda-Medical Center,Rte 30 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.058715142472141,1.75134259865e-4,48,NA,NA
1,1436,122,24,031,704503,24031704503,1400000US24031704503,7045.03,Census Tract 7045.03,G5020,S,1684087,0,39.00658,-77.1190762,0.208082754000072,37160,8877,MCRO,47,47-Rockville-Mont. Mall-Bethesda,Rte 47 operates Monday-Sunday,3,NA,008080,FFFFFF,Bus,0.058715142472141,1.75134259865e-4,68,50,50
1,1436,193,24,031,704503,24031704503,1400000US24031704503,7045.03,Census Tract 7045.03,G5020,S,1684087,0,39.00658,-77.1190762,0.292206044762449,37236,8899,MCRO,70,70-Germantown-Bethesda EXPRESS,Rte 70 operates Monday-Friday,3,NA,800080,FFFFFF,Bus,0.058715142472141,1.75134259865e-4,44,NA,NA
1,1437,62,24,031,704600,24031704600,1400000US24031704600,7046,Census Tract 7046,G5020,S,1899131,0,38.9970312,-77.1177739,0.111808722839081,37099,8859,MCRO,30,30-Bethesda-Medical Center,Rte 30 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.087968070773246,1.97470801407e-4,48,NA,NA
1,1437,79,24,031,704600,24031704600,1400000US24031704600,7046,Census Tract 7046,G5020,S,1899131,0,38.9970312,-77.1177739,0.103956085721935,37116,8864,MCRO,34,34-Bethesda-Wheaton,Rte 34 operates Monday-Sunday,3,NA,0000FF,FFFFFF,Bus,0.087968070773246,1.97470801407e-4,76,58,58
1,1437,81,24,031,704600,24031704600,1400000US24031704600,7046,Census Tract 7046,G5020,S,1899131,0,38.9970312,-77.1177739,0.24070531915156,37118,8865,MCRO,36,36-Bethesda-Potomac-via Hillandale,Rte 36 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.087968070773246,1.97470801407e-4,21,NA,NA
1,1437,122,24,031,704600,24031704600,1400000US24031704600,7046,Census Tract 7046,G5020,S,1899131,0,38.9970312,-77.1177739,0.208082754000072,37160,8877,MCRO,47,47-Rockville-Mont. Mall-Bethesda,Rte 47 operates Monday-Sunday,3,NA,008080,FFFFFF,Bus,0.087968070773246,1.97470801407e-4,68,50,50
1,1437,192,24,031,704600,24031704600,1400000US24031704600,7046,Census Tract 7046,G5020,S,1899131,0,38.9970312,-77.1177739,0.333545643065808,37235,8899,MCRO,70,70-Germantown-Bethesda EXPRESS,Rte 70 operates Monday-Friday,3,NA,800080,FFFFFF,Bus,0.087968070773246,1.97470801407e-4,44,NA,NA
1,1438,11,24,031,701214,24031701214,1400000US24031701214,7012.14,Census Tract 7012.14,G5020,S,1256936,0,39.0295353,-77.0984854,0.231419022385831,37013,8822,MCRO,101,101-Lakeforest-Medical Ctr,Rte 101 operates Monday-Friday,3,NA,00FFFF,FFFFFF,Bus,0.056431139267432,1.30754920537e-4,90,NA,NA
1,1438,84,24,031,701214,24031701214,1400000US24031701214,7012.14,Census Tract 7012.14,G5020,S,1256936,0,39.0295353,-77.0984854,0.191427437149246,37122,8866,MCRO,37,37-Potomac-Wheaton Metro Station,Rte 37 operates Monday-Friday,3,NA,1D9260,FFFFFF,Bus,0.056431139267432,1.30754920537e-4,25,NA,NA
1,1438,120,24,031,701214,24031701214,1400000US24031701214,7012.14,Census Tract 7012.14,G5020,S,1256936,0,39.0295353,-77.0984854,0.145567472639219,37158,8876,MCRO,46,46-Mont.College-Rockv-Medical Ctr,Rte 46 operates Monday-Sunday,3,NA,AE92E4,FFFFFF,Bus,0.056431139267432,1.30754920537e-4,106,82,76
1,1438,128,24,031,701214,24031701214,1400000US24031701214,7012.14,Census Tract 7012.14,G5020,S,1256936,0,39.0295353,-77.0984854,0.150781593739409,37166,8880,MCRO,5,5-Silver Spring-Twinbrook Station,Rte 5 Monday-Sunday,3,NA,FFFF00,FFFFFF,Bus,0.056431139267432,1.30754920537e-4,79,60,56
1,1438,172,24,031,701214,24031701214,1400000US24031701214,7012.14,Census Tract 7012.14,G5020,S,1256936,0,39.0295353,-77.0984854,0.075832004589034,37212,8890,MCRO,6,6-Parkside-Grosvenor-Mont. Mall,Rte 6 operates Monday-Friday,3,NA,00FFFF,FFFFFF,Bus,0.056431139267432,1.30754920537e-4,40,NA,NA
