route_name,tracts,totalEstPopulation,squareMilesOfTracts,wkdayRiders,satRiders,sunRiders,weeklyTotalRiders,wkdayDepartures,satDepartures,sunDepartures,estHouseholdsTracts,estLessVehiclesTracts,estVehiclesTracts,agency
75,14,175658,119.550411893053,528,357,227,1112,60,46,46,57093,6932,3302,MC RideOn
76,16,236740,576.9347323453349,297,86,0,383,51,36,0,87633,8086,3750,MC RideOn
78,17,200675,79.94162891246305,341,156,0,497,37,36,0,73434,10143,4503,MC RideOn
79,24,311584,180.1069468645179,92,0,0,92,14,0,0,110496,13027,8496,MC RideOn
8,13,211915,31.746148012065987,442,267,203,912,44,36,36,80981,15017,11006,MC RideOn
81,6,61531,14.557727039886002,103,0,0,103,30,0,0,25055,3489,3491,MC RideOn
83,9,96809,22.276811579331,411,193,0,604,67,44,0,34362,4356,2520,MC RideOn
9,14,207844,34.57822092232399,661,329,239,1229,72,48,44,77321,14179,9395,MC RideOn
90,14,288031,461.4960206756439,456,0,0,456,57,0,0,94792,7727,2551,MC RideOn
96,8,77878,17.121788068476,180,0,0,180,34,0,0,33783,3874,2443,MC RideOn
97,4,38743,5.181032786658,725,291,239,1255,50,31,31,15153,2446,1523,MC RideOn
98,8,116472,54.000956172204006,327,171,0,498,48,42,0,40070,5034,1677,MC RideOn
C77,2,6402,0.8531872452810001,477,0,0,477,47,0,0,2639,588,433,WMATA
C83,3,9636,1.5018115243630001,359,141,102,602,72,36,36,4287,717,758,WMATA
C85,1,3363,0.70257202348,724,0,0,724,27,0,0,1185,39,16,WMATA
C87,4,26444,0.8396842958442001,553,0,0,553,36,0,0,15818,5502,4210,WMATA
D40,3,19298,0.868872520056,11458,7771,6054,25283,216,177,177,12186,4142,3484,WMATA
D4X,2,10786,0.553460584174,7085,4577,3732,15394,175,147,147,6914,2222,1756,WMATA
D50,1,3503,0.353057979666,7572,5565,4257,17394,199,166,144,1545,405,330,WMATA
D60,5,30070,1.1358259449902,5778,3505,2581,11864,211,175,144,17998,6274,4850,WMATA
D6X,4,26444,0.8396842958442001,5834,3518,2827,12179,200,161,150,15818,5502,4210,WMATA
D80,1,4370,0.383061356088,10456,9483,7122,27061,268,270,270,2424,650,730,WMATA
D82,1,4370,0.383061356088,1539,0,0,1539,48,0,0,2424,650,730,WMATA
D96,10,58011,8.2326236718097,2517,1344,896,4757,91,68,64,25887,4948,3112,WMATA
FLASH,25,363850,128.994804924467,2684,1662,751,5097,191,152,152,132257,20808,13902,MC RideOn
LIME,8,107550,21.790038872668,489,206,165,860,130,64,64,45714,5544,3566,MC RideOn
M12,20,296440,42.97686630727798,6502,4763,3202,14467,221,177,175,99937,16034,9259,WMATA
M20,25,371326,86.32666661880795,4746,2483,1706,8935,253,180,174,135725,23093,16621,WMATA
M22,32,370927,105.47166780809103,2877,3234,2109,8220,97,109,109,128482,15645,10014,WMATA
M42,22,374726,85.77708052028396,2561,1205,760,4526,75,36,34,126283,20016,12801,WMATA
M44,19,317706,74.88932550738994,3081,1397,913,5391,77,34,32,105856,15518,9667,WMATA
M52,25,366836,132.43019108466106,2186,1412,886,4484,70,65,65,131967,20250,13284,WMATA
M54,21,319450,75.36311581941497,1767,1376,938,4081,85,82,82,116943,19690,13186,WMATA
M60,10,157252,35.618063670678,6602,5732,3971,16305,181,170,173,52818,9250,6817,WMATA
M6X,6,74634,12.947972600443999,683,0,0,683,53,0,0,25426,5639,3607,WMATA
M70,19,170005,32.95285543830919,4523,2872,1995,9390,198,174,173,71295,13667,9087,WMATA
M82,21,199139,74.3781868026517,813,450,385,1648,58,51,51,71180,5968,3747,WMATA
P15,1,2035,0.116477171577,685,0,0,685,25,0,0,749,240,106,WMATA
P16,2,18864,7.3122991776,3286,1643,1042,5971,110,64,58,6879,413,1046,WMATA
P30,7,43908,3.6303200086169998,6296,4883,3074,14253,178,163,157,22683,7068,5613,WMATA
P31,1,8032,0.851650099868,1566,1370,959,3895,70,65,61,2732,322,62,WMATA
P42,2,6402,0.8531872452810001,1847,1184,716,3747,83,59,51,2639,588,433,WMATA
PINK,7,97843,21.839678048649002,484,123,138,745,139,52,52,42690,5038,3128,MC RideOn
